Date	Month	CSR	Agent	Supplier	Status	Product	Quantity	Cost	Waybill_Fee
18 Nov 2025	November	CRS1	plateau online 		Delivered	Nylon	50	₦7,500.00	
18 Nov 2025	November	CRS1	Fomax		Delivered	Vacuum Sealer	1	₦9,500.00	
18 Nov 2025	November	CRS1	Fomax		Delivered	Nylon	50	₦7,500.00	
18 Nov 2025	November	Nuella	KK Logistics 		Delivered	Vacuum Sealer	2	₦19,000.00	
18 Nov 2025	November	Nuella	Fomax		Delivered	Vacuum Sealer	1	₦9,500.00	
18 Nov 2025	November	Nuella	Fomax		Delivered	Nylon	50	₦7,500.00	
19 Nov 2025	November	Nuella	Fomax		Waybilled	Vacuum Sealer	15	₦142,500.00	₦5,500.00
19 Nov 2025	November	Nuella	Samsucc Logistics		Waybilled	Vacuum Sealer	8	₦76,000.00	
19 Nov 2025	November	Nuella	Samsucc Logistics		Waybilled	Nylon	200	₦30,000.00	₦5,000.00
19 Nov 2025	November	Nuella	Formax (Rivers)		Waybilled	Vacuum Sealer	5	₦47,500.00	₦4,500.00
19 Nov 2025	November	Nuella	plateau online 		Waybilled	Vacuum Sealer	5	₦47,500.00	₦5,000.00
19 Nov 2025	November	Nuella	Azird		Waybilled	Vacuum Sealer	5	₦47,500.00	
19 Nov 2025	November	Nuella	Azird		Waybilled	Nylon	300	₦45,000.00	₦5,000.00
19 Nov 2025	November	Nuella	Fomax		Delivered	Vacuum Sealer	2	₦19,000.00	
19 Nov 2025	November	CRS1	Eclipse Logistics		Delivered	Vacuum Sealer	1	₦9,500.00	
19 Nov 2025	November	CRS1	Eclipse Logistics		Delivered	Nylon	40	₦6,000.00	
19 Nov 2025	November	CRS1	Fomax		Delivered	Vacuum Sealer	1	₦9,500.00	
20 Nov 2025	November	Nuella	Delvit (Enugu)		Waybilled	Nylon	300	₦45,000.00	₦3,500.00
20 Nov 2025	November	Nuella	Delvit (Enugu)		Delivered	Vacuum Sealer	1	₦9,500.00	
20 Nov 2025	November	Nuella	Azird		Delivered	Vacuum Sealer	1	₦9,500.00	
20 Nov 2025	November	Nuella	Fomax		Delivered	Vacuum Sealer	1	₦9,500.00	
24 Nov 2025	November	CRS1	Fomax		Delivered	Vacuum Sealer	1	₦9,500.00	
24 Nov 2025	November	CRS1	Fomax		Delivered	Vacuum Sealer	2	₦19,000.00	
24 Nov 2025	November	CRS1	Fomax		Delivered	Nylon	100	₦15,000.00	
25 Nov 2025	November	Nuella	plateau online 		Delivered	Vacuum Sealer	1	₦9,500.00	
25 Nov 2025	November	CRS1	Samsucc Logistics		Delivered	Vacuum Sealer	2	₦19,000.00	
25 Nov 2025	November	CRS1	Samsucc Logistics		Delivered	Nylon	50	₦7,500.00	
27 Nov 2025	November	CRS1	Delvit (Enugu)		Delivered	Vacuum Sealer	1	₦9,500.00	
27 Nov 2025	November	CRS1	Delvit (Enugu)		Delivered	Nylon	100	₦15,000.00	









